gender,age,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
1,20,4,4,1,4,1,4,4,2,1,1
2,21,1,3,1,1,1,1,1,2,4,0
2,16,4,3,2,2,3,3,2,3,4,4
1,20,3,3,2,3,3,3,2,3,4,3
1,18,2,3,2,2,3,1,1,4,4,4
2,15,3,3,2,3,2,2,3,4,3,3
2,16,3,3,2,4,3,2,2,4,3,2
2,21,1,3,2,1,4,3,3,3,2,3
2,22,2,2,3,3,4,2,2,4,3,3
1,16,3,3,3,1,3,2,2,3,3,2
2,15,3,3,3,2,4,1,4,4,4,4
3,15,2,1,3,4,1,2,3,2,4,4
2,15,1,2,4,2,4,1,1,4,4,4
2,14,1,2,4,2,3,2,1,4,4,4
2,17,2,1,4,2,3,2,1,3,4,4
2,17,3,4,3,3,2,4,3,2,3,1
1,25,3,3,3,3,3,2,1,4,4,4
2,18,3,3,2,3,2,3,2,3,3,3
2,17,3,2,4,3,4,2,1,2,4,4
2,15,2,2,4,2,3,2,1,4,1,1
2,17,4,4,2,3,2,2,2,2,1,1
2,21,3,3,2,3,2,3,3,2,3,2
1,15,4,4,1,4,2,4,4,2,3,3
1,18,3,3,2,2,3,3,3,3,2,3
2,15,2,3,1,2,3,2,2,3,4,4
2,21,4,3,2,4,4,2,2,3,2,2
2,28,3,3,2,3,2,2,3,2,3,2
1,19,3,3,3,4,3,2,1,4,3,3
1,23,4,4,3,4,3,2,1,2,1,1
2,20,3,4,2,3,3,3,4,4,3,2
2,24,2,2,3,2,3,1,2,4,3,3
1,12,1,1,1,1,1,1,1,1,1,1
2,15,3,3,2,4,2,2,3,3,2,2
1,22,4,3,3,3,3,3,2,3,3,2
1,15,4,4,1,4,1,4,4,1,3,1
2,18,1,3,4,2,3,2,2,3,4,4
2,22,3,4,2,4,2,3,3,3,3,3
2,18,3,3,3,3,3,3,2,2,3,2
2,27,3,3,2,3,2,2,2,3,3,4
2,17,3,2,3,3,2,2,2,4,3,2
2,16,2,2,3,2,3,1,1,3,3,3
1,21,3,3,2,4,2,3,3,4,2,2
1,16,1,2,4,2,4,2,1,3,4,4
2,23,3,2,2,3,2,2,2,3,3,3
1,19,3,3,3,2,3,2,2,2,4,4
1,24,4,4,1,4,1,4,4,1,1,1
2,20,2,3,2,2,3,2,2,4,3,3
1,18,3,3,2,3,3,3,3,2,3,2
1,25,2,2,3,2,4,2,3,3,3,4
2,17,3,2,3,2,4,3,1,3,2,2
2,19,2,2,2,3,3,1,1,3,4,3
1,17,3,4,2,3,2,3,2,3,1,2
1,22,2,2,3,2,3,2,2,3,3,4
2,30,2,3,2,3,2,3,2,3,3,1
2,23,3,4,1,3,3,4,3,4,2,3
2,24,3,3,3,2,3,3,3,2,2,2
1,20,2,0,3,3,4,2,2,3,3,3
2,30,2,2,4,3,4,2,2,3,4,4
1,14,3,3,3,3,3,2,2,3,4,4
2,19,3,3,2,2,3,2,2,3,3,4
1,18,2,3,3,1,3,1,2,3,3,4
1,26,3,2,3,4,4,2,1,3,4,4
1,18,3,3,4,2,4,2,2,3,3,3
2,23,3,3,3,2,2,2,2,4,3,3
2,13,3,3,2,3,2,3,3,2,2,2
2,15,3,3,1,3,2,2,3,3,3,4
2,25,3,3,1,3,2,3,3,1,3,2
2,18,3,2,3,3,4,2,2,3,4,4
2,22,3,2,3,3,3,2,2,3,3,3
1,22,4,4,2,4,2,4,4,3,2,2
2,13,2,2,3,2,2,1,1,4,2,1
2,29,2,4,2,2,2,2,3,3,3,3
2,16,2,3,3,2,3,1,1,4,3,3
1,16,4,4,1,4,1,4,4,2,2,1
2,20,3,3,2,3,3,3,1,2,1,1
1,17,3,3,2,4,2,3,3,3,3,3
2,16,2,2,3,2,3,2,2,3,4,4
1,24,2,2,4,3,4,3,2,3,4,4
2,30,3,3,3,4,3,3,2,3,3,3
