age,gender,work_hours_per_week,meetings_per_day,work_life_balance_score,job_satisfaction_score,social_support_score,deadline_pressure_score,autonomy_score,stress_score,burnout_score,burnout_level
26,Male,54,6.1,4.2,3.9,7.1,5.9,6.3,8.6,5.8,High
22,Male,58,6.1,4.4,4.8,6.9,5.7,5.5,10.0,10.0,Severe
25,Female,48,4.1,5.0,4.2,4.5,7.7,2.9,10.0,8.6,Severe
25,Female,42,4.8,3.8,4.6,5.2,9.3,6.3,9.7,6.7,High
28,Male,53,2.3,7.7,3.5,8.9,6.1,4.0,5.5,4.1,Moderate
25,Female,52,3.5,4.6,3.9,6.0,5.8,4.6,6.2,6.8,High
30,Male,43,3.5,3.8,2.9,6.8,7.2,6.4,6.1,1.7,Low
25,Male,48,5.3,5.4,7.3,4.9,5.2,6.0,9.9,10.0,Severe
22,Male,59,1.3,3.3,8.1,7.6,4.3,3.3,6.0,5.7,High
22,Male,51,3.0,5.9,3.5,6.3,5.0,5.8,5.6,5.4,Moderate
25,Male,40,3.0,4.6,8.3,6.6,8.5,6.7,8.0,4.1,Moderate
22,Female,58,6.5,1.9,3.8,6.1,6.4,9.2,9.0,7.1,Severe
26,Male,47,4.3,4.7,4.5,6.5,5.6,5.3,7.3,5.9,High
22,Male,55,1.6,2.8,6.1,3.8,9.3,3.8,8.5,6.0,High
22,Male,49,3.6,5.9,4.0,7.0,7.2,2.4,10.0,9.1,Severe
27,Female,44,6.6,6.4,9.0,8.2,10.0,3.3,10.0,9.6,Severe
27,Male,53,5.0,3.1,3.8,3.0,8.7,4.8,10.0,8.8,Severe
24,Male,41,5.0,6.3,1.2,4.9,7.5,5.8,6.0,4.1,Moderate
29,Male,54,2.9,3.9,4.8,7.0,7.4,6.9,7.3,3.7,Moderate
28,Male,45,3.3,3.3,1.0,7.7,7.7,5.3,6.1,1.4,Low
23,Female,48,3.1,3.4,5.6,3.2,8.8,4.8,9.9,9.5,Severe
